rssi_6,rssi_17,dis_6,dis_17
-44,-50,86,75
-44,-49,87,76
-45,-49,86,75
-45,-49,88,75
-46,-49,86,75
-46,-49,86,75
-46,-49,88,76
-45,-49,86,75
-44,-49,87,75
-46,-49,88,75
-44,-49,87,75
-46,-49,88,75
-44,-50,87,75
-44,-50,87,75
-41,-57,99,87
-41,-57,100,87
-42,-57,100,87
-39,-57,100,86
-42,-56,99,87
-40,-56,101,86
-43,-56,99,86
-40,-56,99,87
-41,-56,100,86
-41,-56,100,86
-39,-57,99,87
-39,-56,99,87
-41,-56,98,86
-38,-56,99,86
-40,-56,98,86
-39,-56,98,87
-41,-56,99,87
-40,-55,98,86
-39,-56,99,86
-44,-58,98,86
-44,-49,87,76
-47,-50,86,76
-45,-49,87,76
-45,-49,87,76
-47,-50,87,76
-46,-49,86,76
-45,-49,87,76
-45,-49,86,76
-45,-49,86,76
-49,-50,87,76
-45,-50,86,76
-46,-50,86,76
-46,-49,86,77
-46,-49,86,76
-46,-49,86,76
-47,-50,87,76
-46,-49,87,76
-46,-49,86,76
-44,-49,86,76
-46,-50,86,76
-39,-48,74,66
-39,-49,75,66
-40,-49,75,67
-41,-49,75,66
-42,-49,75,66
-41,-49,75,66
-40,-50,74,66
-41,-50,74,66
-41,-50,75,66
-43,-48,76,66
-42,-49,74,66
-43,-49,75,66
-41,-49,74,66
-40,-49,75,66
-43,-49,74,66
-41,-49,76,66
-40,-49,75,66
-41,-48,74,66
-42,-49,74,66
-43,-49,75,66
-45,-49,63,56
-46,-50,63,57
-45,-49,63,57
-44,-48,63,56
-46,-50,63,57
-44,-48,63,57
-43,-48,62,57
-46,-49,62,56
-43,-48,63,56
-44,-49,63,56
-44,-49,63,56
-42,-49,62,56
-46,-48,62,57
-45,-48,63,57
-43,-48,62,57
-44,-48,63,56
-45,-48,62,57
-45,-48,63,57
-45,-48,63,57
-46,-49,63,56
-40,-50,52,48
-37,-50,52,49
-36,-49,52,48
-37,-54,52,48
-39,-50,52,48
-37,-53,52,48
-39,-54,52,48
-42,-53,52,48
-40,-49,52,48
-37,-49,52,48
-37,-50,52,48
-36,-50,52,48
-38,-49,52,48
-36,-49,52,48
-36,-53,52,48
-36,-53,52,48
-39,-53,52,48
-39,-49,52,48
-39,-49,52,49
-39,-49,52,49
-39,-48,41,38
-39,-48,41,39
-41,-47,40,38
-40,-48,41,39
-41,-48,40,39
-41,-48,40,38
-36,-45,40,38
-40,-48,40,38
-39,-48,41,38
-37,-44,40,39
-37,-45,41,39
-37,-45,41,39
-40,-48,40,39
-35,-45,40,38
-37,-45,41,38
-39,-48,41,38
-37,-47,41,38
-39,-48,41,38
-36,-48,41,39
-36,-45,41,38
-36,-40,31,31
-36,-40,30,31
-38,-43,30,31
-34,-42,31,31
-38,-44,31,31
-39,-43,31,31
-36,-40,31,31
-36,-40,31,31
-36,-44,31,31
-37,-41,31,31
-34,-40,31,31
-34,-40,30,32
-39,-44,31,31
-36,-40,30,31
-37,-44,31,31
-37,-43,31,31
-38,-43,31,31
-36,-44,31,31
-38,-44,30,31
-37,-44,30,31
